service_date,day_type,bus,rail_boardings,total_rides
2001-01-01,Sunday/Holiday,297192,126455,423647
2001-01-02,Weekday,780827,501952,1282779
2001-01-03,Weekday,824923,536432,1361355
2001-01-04,Weekday,870021,550011,1420032
2001-01-05,Weekday,890426,557917,1448343
2001-01-06,Saturday,577401,255356,832757
2001-01-07,Sunday/Holiday,375831,169825,545656
2001-01-08,Weekday,985221,590706,1575927
2001-01-09,Weekday,978377,599905,1578282
2001-01-10,Weekday,984884,602052,1586936
2001-01-11,Weekday,995561,607503,1603064
2001-01-12,Weekday,1018985,605252,1624237
2001-01-13,Saturday,591791,270056,861847
2001-01-14,Sunday/Holiday,373091,174842,547933
2001-01-15,Weekday,675845,412149,1087994
2001-01-16,Weekday,1024367,622163,1646530
2001-01-17,Weekday,1018690,620343,1639033
2001-01-18,Weekday,1006996,618832,1625828
2001-01-19,Weekday,909964,583851,1493815
2001-01-20,Saturday,582348,263815,846163
2001-01-21,Sunday/Holiday,378381,172107,550488
2001-01-22,Weekday,1005936,598777,1604713
2001-01-23,Weekday,1019983,610352,1630335
2001-01-24,Weekday,991661,606835,1598496
2001-01-25,Weekday,1004257,609877,1614134
2001-01-26,Weekday,965324,597039,1562363
2001-01-27,Saturday,590836,268078,858914
2001-01-28,Sunday/Holiday,368819,174434,543253
2001-01-29,Weekday,953532,587052,1540584
2001-01-30,Weekday,982046,607858,1589904
2001-01-31,Weekday,999392,610508,1609900
2001-02-01,Weekday,1054608,615268,1669876
2001-02-02,Weekday,966701,577767,1544468
2001-02-03,Saturday,611703,263612,875315
2001-02-04,Sunday/Holiday,404212,178398,582610
2001-02-05,Weekday,1045944,600588,1646532
2001-02-06,Weekday,1039393,612435,1651828
2001-02-07,Weekday,1015059,609022,1624081
2001-02-08,Weekday,1007760,610237,1617997
2001-02-09,Weekday,970826,593354,1564180
2001-02-10,Saturday,605404,271313,876717
2001-02-11,Sunday/Holiday,405433,178810,584243
2001-02-12,Weekday,872330,539393,1411723
2001-02-13,Weekday,1050834,622753,1673587
2001-02-14,Weekday,1004304,610966,1615270
2001-02-15,Weekday,1028938,613323,1642261
2001-02-16,Weekday,1033040,601418,1634458
2001-02-17,Saturday,591717,269294,861011
2001-02-18,Sunday/Holiday,388788,176855,565643
2001-02-19,Weekday,782447,457891,1240338
2001-02-20,Weekday,1035400,610284,1645684
2001-02-21,Weekday,986212,600133,1586345
2001-02-22,Weekday,986399,606302,1592701
2001-02-23,Weekday,1024235,602352,1626587
2001-02-24,Saturday,505193,246795,751988
2001-02-25,Sunday/Holiday,351637,172132,523769
2001-02-26,Weekday,1009329,609256,1618585
2001-02-27,Weekday,1000630,609305,1609935
2001-02-28,Weekday,990416,610013,1600429
2001-03-01,Weekday,1051889,618440,1670329
2001-03-02,Weekday,1062234,611578,1673812
2001-03-03,Saturday,678870,286786,965656
2001-03-04,Sunday/Holiday,385978,178292,564270
2001-03-05,Weekday,863086,549759,1412845
2001-03-06,Weekday,1013530,603561,1617091
2001-03-07,Weekday,1028462,616666,1645128
2001-03-08,Weekday,1000946,611371,1612317
2001-03-09,Weekday,1038368,606672,1645040
2001-03-10,Saturday,633472,283251,916723
2001-03-11,Sunday/Holiday,410081,188228,598309
2001-03-12,Weekday,979411,588857,1568268
2001-03-13,Weekday,1017685,611347,1629032
2001-03-14,Weekday,1025283,619417,1644700
2001-03-15,Weekday,960667,596612,1557279
2001-03-16,Weekday,923613,583359,1506972
2001-03-17,Saturday,602158,343893,946051
2001-03-18,Sunday/Holiday,412146,194257,606403
2001-03-19,Weekday,1021700,602469,1624169
2001-03-20,Weekday,1034388,618340,1652728
2001-03-21,Weekday,1029332,616764,1646096
2001-03-22,Weekday,1030741,617815,1648556
2001-03-23,Weekday,1030685,605605,1636290
2001-03-24,Saturday,604139,277028,881167
2001-03-25,Sunday/Holiday,348817,170742,519559
2001-03-26,Weekday,989316,583176,1572492
2001-03-27,Weekday,1017904,600914,1618818
2001-03-28,Weekday,1007699,601999,1609698
2001-03-29,Weekday,1020098,605027,1625125
2001-03-30,Weekday,978244,590403,1568647
2001-03-31,Saturday,626223,280950,907173
2001-04-01,Sunday/Holiday,417716,192717,610433
2001-04-02,Weekday,1023629,611098,1634727
2001-04-03,Weekday,1057275,613993,1671268
2001-04-04,Weekday,1047634,625348,1672982
2001-04-05,Weekday,973118,606535,1579653
2001-04-06,Weekday,1015046,611352,1626398
2001-04-07,Saturday,642265,297971,940236
2001-04-08,Sunday/Holiday,437035,200720,637755
2001-04-09,Weekday,998290,596418,1594708
2001-04-10,Weekday,1024817,613311,1638128
2001-04-11,Weekday,985906,606764,1592670
2001-04-12,Weekday,991795,608691,1600486
2001-04-13,Weekday,865706,527116,1392822
2001-04-14,Saturday,628526,279728,908254
2001-04-15,Sunday/Holiday,364972,163191,528163
2001-04-16,Weekday,859713,564614,1424327
2001-04-17,Weekday,877834,583859,1461693
2001-04-18,Weekday,907539,599600,1507139
2001-04-19,Weekday,917518,596505,1514023
2001-04-20,Weekday,922082,590659,1512741
2001-04-21,Saturday,603039,293701,896740
2001-04-22,Sunday/Holiday,384255,185526,569781
2001-04-23,Weekday,979788,590446,1570234
2001-04-24,Weekday,1031150,618513,1649663
2001-04-25,Weekday,977794,609447,1587241
2001-04-26,Weekday,1028140,624617,1652757
2001-04-27,Weekday,1034472,610723,1645195
2001-04-28,Saturday,624970,289747,914717
2001-04-29,Sunday/Holiday,423377,200002,623379
2001-04-30,Weekday,1008390,600424,1608814
2001-05-01,Weekday,1067496,632996,1700492
2001-05-02,Weekday,1034088,627894,1661982
2001-05-03,Weekday,1065048,634792,1699840
2001-05-04,Weekday,1046692,621087,1667779
2001-05-05,Saturday,637957,307025,944982
2001-05-06,Sunday/Holiday,417760,206450,624210
2001-05-07,Weekday,1007381,598338,1605719
2001-05-08,Weekday,1044379,621604,1665983
2001-05-09,Weekday,1041324,619928,1661252
2001-05-10,Weekday,1018705,614067,1632772
2001-05-11,Weekday,1004068,600295,1604363
2001-05-12,Saturday,649008,289167,938175
2001-05-13,Sunday/Holiday,422270,200996,623266
2001-05-14,Weekday,963027,581644,1544671
2001-05-15,Weekday,1035512,633053,1668565
2001-05-16,Weekday,995884,627978,1623862
2001-05-17,Weekday,1006118,628882,1635000
2001-05-18,Weekday,1027834,628829,1656663
2001-05-19,Saturday,645603,315487,961090
2001-05-20,Sunday/Holiday,427040,217899,644939
2001-05-21,Weekday,958236,590204,1548440
2001-05-22,Weekday,1019568,637152,1656720
2001-05-23,Weekday,978614,619656,1598270
2001-05-24,Weekday,973423,615727,1589150
2001-05-25,Weekday,988982,597892,1586874
2001-05-26,Saturday,512958,269276,782234
2001-05-27,Sunday/Holiday,390535,208208,598743
2001-05-28,Sunday/Holiday,392906,191639,584545
2001-05-29,Weekday,1003029,595375,1598404
2001-05-30,Weekday,1002940,607442,1610382
2001-05-31,Weekday,965359,602748,1568107
2001-06-01,Weekday,1057056,611631,1668687
2001-06-02,Saturday,618944,282212,901156
2001-06-03,Sunday/Holiday,432408,204795,637203
2001-06-04,Weekday,1029447,599699,1629146
2001-06-05,Weekday,935443,606051,1541494
2001-06-06,Weekday,1004243,627572,1631815
2001-06-07,Weekday,1004748,646177,1650925
2001-06-08,Weekday,1012502,642049,1654551
2001-06-09,Saturday,639444,358013,997457
2001-06-10,Sunday/Holiday,438393,242257,680650
2001-06-11,Weekday,910186,586260,1496446
2001-06-12,Weekday,946314,605737,1552051
2001-06-13,Weekday,911372,599114,1510486
2001-06-14,Weekday,891710,602538,1494248
2001-06-15,Weekday,912712,612983,1525695
2001-06-16,Saturday,675335,340782,1016117
2001-06-17,Sunday/Holiday,422714,237483,660197
2001-06-18,Weekday,909937,590688,1500625
2001-06-19,Weekday,944122,613028,1557150
2001-06-20,Weekday,939471,612707,1552178
2001-06-21,Weekday,900375,596076,1496451
2001-06-22,Weekday,957514,626565,1584079
2001-06-23,Saturday,631716,328467,960183
2001-06-24,Sunday/Holiday,443240,281620,724860
2001-06-25,Weekday,947130,621006,1568136
2001-06-26,Weekday,944301,635326,1579627
2001-06-27,Weekday,944274,634994,1579268
2001-06-28,Weekday,942731,611002,1553733
2001-06-29,Weekday,996694,666587,1663281
2001-06-30,Saturday,649995,363078,1013073
2001-07-01,Sunday/Holiday,435317,271052,706369
2001-07-02,Weekday,958879,627767,1586646
2001-07-03,Weekday,990209,827670,1817879
2001-07-04,Sunday/Holiday,461383,306172,767555
2001-07-05,Weekday,918500,606574,1525074
2001-07-06,Weekday,958011,643965,1601976
2001-07-07,Saturday,599172,347374,946546
2001-07-08,Sunday/Holiday,439513,256208,695721
2001-07-09,Weekday,935542,597633,1533175
2001-07-10,Weekday,937066,610069,1547135
2001-07-11,Weekday,960775,614294,1575069
2001-07-12,Weekday,949551,636236,1585787
2001-07-13,Weekday,957097,641244,1598341
2001-07-14,Saturday,629660,333365,963025
2001-07-15,Sunday/Holiday,420137,241827,661964
2001-07-16,Weekday,880246,623660,1503906
2001-07-17,Weekday,920250,625940,1546190
2001-07-18,Weekday,935427,612765,1548192
2001-07-19,Weekday,949691,618451,1568142
2001-07-20,Weekday,937942,610617,1548559
2001-07-21,Saturday,593545,305457,899002
2001-07-22,Sunday/Holiday,379766,200473,580239
2001-07-23,Weekday,854318,574685,1429003
2001-07-24,Weekday,939133,630753,1569886
2001-07-25,Weekday,874776,612547,1487323
2001-07-26,Weekday,954848,636674,1591522
2001-07-27,Weekday,933625,634484,1568109
2001-07-28,Saturday,607195,357848,965043
2001-07-29,Sunday/Holiday,432534,236416,668950
2001-07-30,Weekday,908372,586076,1494448
2001-07-31,Weekday,884617,596502,1481119
2001-08-01,Weekday,873553,612734,1486287
2001-08-02,Weekday,790639,549367,1340006
2001-08-03,Weekday,984483,603405,1587888
2001-08-04,Saturday,648406,319386,967792
2001-08-05,Sunday/Holiday,453344,225172,678516
2001-08-06,Weekday,907499,585919,1493418
2001-08-07,Weekday,875431,610601,1486032
2001-08-08,Weekday,854367,596163,1450530
2001-08-09,Weekday,846305,602242,1448547
2001-08-10,Weekday,946431,626136,1572567
2001-08-11,Saturday,607614,323141,930755
2001-08-12,Sunday/Holiday,420182,234020,654202
2001-08-13,Weekday,892382,571719,1464101
2001-08-14,Weekday,866757,598019,1464776
2001-08-15,Weekday,878793,584203,1462996
2001-08-16,Weekday,800887,581402,1382289
2001-08-17,Weekday,929083,598538,1527621
2001-08-18,Saturday,569201,296970,866171
2001-08-19,Sunday/Holiday,439920,235842,675762
2001-08-20,Weekday,876831,606101,1482932
2001-08-21,Weekday,894995,608242,1503237
2001-08-22,Weekday,864392,599157,1463549
2001-08-23,Weekday,906026,612615,1518641
2001-08-24,Weekday,926014,619276,1545290
2001-08-25,Saturday,518211,290626,808837
2001-08-26,Sunday/Holiday,439715,245014,684729
2001-08-27,Weekday,900370,590849,1491219
2001-08-28,Weekday,933626,628532,1562158
2001-08-29,Weekday,901782,625324,1527106
2001-08-30,Weekday,913200,617044,1530244
2001-08-31,Weekday,986749,616977,1603726
2001-09-01,Saturday,639977,319699,959676
2001-09-02,Sunday/Holiday,470771,243520,714291
2001-09-03,Sunday/Holiday,448248,213584,661832
2001-09-04,Weekday,1120482,625640,1746122
2001-09-05,Weekday,1047878,644950,1692828
2001-09-06,Weekday,1053246,644766,1698012
2001-09-07,Weekday,1070339,659824,1730163
2001-09-08,Saturday,645427,341332,986759
2001-09-09,Sunday/Holiday,492026,215773,707799
2001-09-10,Weekday,1075781,661092,1736873
2001-09-11,Weekday,957593,525953,1483546
2001-09-12,Weekday,931165,588507,1519672
2001-09-13,Weekday,1010171,607718,1617889
2001-09-14,Weekday,1034666,613645,1648311
2001-09-15,Saturday,615097,277875,892972
2001-09-16,Sunday/Holiday,417392,191270,608662
2001-09-17,Weekday,919985,609381,1529366
2001-09-18,Weekday,1039365,626518,1665883
2001-09-19,Weekday,939442,625612,1565054
2001-09-20,Weekday,973094,646112,1619206
2001-09-21,Weekday,967583,626032,1593615
2001-09-22,Saturday,641096,307331,948427
2001-09-23,Sunday/Holiday,361048,190813,551861
2001-09-24,Weekday,940207,622061,1562268
2001-09-25,Weekday,968563,638815,1607378
2001-09-26,Weekday,1028542,639258,1667800
2001-09-27,Weekday,1024125,642860,1666985
2001-09-28,Weekday,1024142,645884,1670026
2001-09-29,Saturday,639464,330008,969472
2001-09-30,Sunday/Holiday,412037,219852,631889
2001-10-01,Weekday,1069361,639795,1709156
2001-10-02,Weekday,1078342,658020,1736362
2001-10-03,Weekday,1018388,657170,1675558
2001-10-04,Weekday,902598,649681,1552279
2001-10-05,Weekday,1034680,651273,1685953
2001-10-06,Saturday,628587,326860,955447
2001-10-07,Sunday/Holiday,404926,287483,692409
2001-10-08,Weekday,802729,531294,1334023
2001-10-09,Weekday,1055377,645072,1700449
2001-10-10,Weekday,898767,637568,1536335
2001-10-11,Weekday,1025128,647937,1673065
2001-10-12,Weekday,1000153,625089,1625242
2001-10-13,Saturday,515481,273528,789009
2001-10-14,Sunday/Holiday,409065,209437,618502
2001-10-15,Weekday,1037513,627937,1665450
2001-10-16,Weekday,1022047,634396,1656443
2001-10-17,Weekday,1036702,641266,1677968
2001-10-18,Weekday,1017434,646140,1663574
2001-10-19,Weekday,956423,642121,1598544
2001-10-20,Saturday,632093,319399,951492
2001-10-21,Sunday/Holiday,433014,213638,646652
2001-10-22,Weekday,1012782,621894,1634676
2001-10-23,Weekday,1000304,638393,1638697
2001-10-24,Weekday,867027,625218,1492245
2001-10-25,Weekday,947047,618401,1565448
2001-10-26,Weekday,981933,613047,1594980
2001-10-27,Saturday,582223,291912,874135
2001-10-28,Sunday/Holiday,405374,208481,613855
2001-10-29,Weekday,1019942,623086,1643028
2001-10-30,Weekday,994503,629005,1623508
2001-10-31,Weekday,978585,628587,1607172
2001-11-01,Weekday,1029256,641642,1670898
2001-11-02,Weekday,1042714,645966,1688680
2001-11-03,Saturday,648350,315004,963354
2001-11-04,Sunday/Holiday,443453,222988,666441
2001-11-05,Weekday,1057697,629864,1687561
2001-11-06,Weekday,1044478,638448,1682926
2001-11-07,Weekday,1033982,640396,1674378
2001-11-08,Weekday,1004574,636400,1640974
2001-11-09,Weekday,931849,620257,1552106
2001-11-10,Saturday,618184,322793,940977
2001-11-11,Sunday/Holiday,416118,218931,635049
2001-11-12,Weekday,812747,527242,1339989
2001-11-13,Weekday,1026715,641101,1667816
2001-11-14,Weekday,994462,624162,1618624
2001-11-15,Weekday,983434,615519,1598953
2001-11-16,Weekday,1046467,623566,1670033
2001-11-17,Saturday,653210,354828,1008038
2001-11-18,Sunday/Holiday,414683,201199,615882
2001-11-19,Weekday,999890,600948,1600838
2001-11-20,Weekday,1005581,612391,1617972
2001-11-21,Weekday,988420,589664,1578084
2001-11-22,Sunday/Holiday,322788,151915,474703
2001-11-23,Weekday,641780,356646,998426
2001-11-24,Saturday,504548,253414,757962
2001-11-25,Sunday/Holiday,373755,186416,560171
2001-11-26,Weekday,993754,600439,1594193
2001-11-27,Weekday,985583,613858,1599441
2001-11-28,Weekday,981842,614405,1596247
2001-11-29,Weekday,972155,613392,1585547
2001-11-30,Weekday,1039082,625037,1664119
2001-12-01,Saturday,640965,307646,948611
2001-12-02,Sunday/Holiday,418878,210748,629626
2001-12-03,Weekday,1051222,599106,1650328
2001-12-04,Weekday,1049416,613294,1662710
2001-12-05,Weekday,1039940,622264,1662204
2001-12-06,Weekday,1020021,623428,1643449
2001-12-07,Weekday,1023743,618300,1642043
2001-12-08,Saturday,620074,315639,935713
2001-12-09,Sunday/Holiday,406917,207697,614614
2001-12-10,Weekday,1005376,597416,1602792
2001-12-11,Weekday,1010462,614387,1624849
2001-12-12,Weekday,981259,609660,1590919
2001-12-13,Weekday,990166,610845,1601011
2001-12-14,Weekday,982986,600798,1583784
2001-12-15,Saturday,623138,319051,942189
2001-12-16,Sunday/Holiday,407448,213347,620795
2001-12-17,Weekday,995060,593314,1588374
2001-12-18,Weekday,1014592,608735,1623327
2001-12-19,Weekday,958790,591815,1550605
2001-12-20,Weekday,987827,586572,1574399
2001-12-21,Weekday,994499,569456,1563955
2001-12-22,Saturday,586969,268254,855223
2001-12-23,Sunday/Holiday,393359,184628,577987
2001-12-24,Weekday,525908,257022,782930
2001-12-25,Sunday/Holiday,218872,93525,312397
2001-12-26,Weekday,619967,380064,1000031
2001-12-27,Weekday,690465,436814,1127279
2001-12-28,Weekday,739404,456879,1196283
2001-12-29,Saturday,473194,224772,697966
2001-12-30,Sunday/Holiday,306871,160102,466973
2001-12-31,Weekday,650794,321388,972182
2002-01-01,Sunday/Holiday,294360,122471,416831
2002-01-02,Weekday,766853,491630,1258483
2002-01-03,Weekday,838088,523292,1361380
2002-01-04,Weekday,858709,528849,1387558
2002-01-05,Saturday,542470,245820,788290
2002-01-06,Sunday/Holiday,370508,177606,548114
2002-01-07,Weekday,953807,568929,1522736
2002-01-08,Weekday,973200,585667,1558867
2002-01-09,Weekday,985622,591671,1577293
2002-01-10,Weekday,974188,591742,1565930
2002-01-11,Weekday,1006535,591718,1598253
2002-01-12,Saturday,565955,266826,832781
2002-01-13,Sunday/Holiday,371378,176272,547650
2002-01-14,Weekday,985931,593642,1579573
2002-01-15,Weekday,983090,601489,1584579
2002-01-16,Weekday,955758,608009,1563767
2002-01-17,Weekday,968715,598282,1566997
2002-01-18,Weekday,967930,581331,1549261
2002-01-19,Saturday,556405,273407,829812
2002-01-20,Sunday/Holiday,374069,180903,554972
2002-01-21,Weekday,648994,392312,1041306
2002-01-22,Weekday,1012565,603877,1616442
2002-01-23,Weekday,990484,600427,1590911
2002-01-24,Weekday,1007218,605974,1613192
2002-01-25,Weekday,1028432,601352,1629784
2002-01-26,Saturday,611356,283489,894845
2002-01-27,Sunday/Holiday,408878,189116,597994
2002-01-28,Weekday,1009923,595606,1605529
2002-01-29,Weekday,979719,597598,1577317
2002-01-30,Weekday,936013,602737,1538750
2002-01-31,Weekday,879895,602988,1482883
2002-02-01,Weekday,954707,585087,1539794
2002-02-02,Saturday,614544,273954,888498
2002-02-03,Sunday/Holiday,401958,180019,581977
2002-02-04,Weekday,988315,576117,1564432
2002-02-05,Weekday,997471,596800,1594271
2002-02-06,Weekday,1011650,597747,1609397
2002-02-07,Weekday,1011915,600731,1612646
2002-02-08,Weekday,1027036,594502,1621538
2002-02-09,Saturday,650477,296011,946488
2002-02-10,Sunday/Holiday,379613,180097,559710
2002-02-11,Weekday,985014,592118,1577132
2002-02-12,Weekday,811567,541814,1353381
2002-02-13,Weekday,1019675,612626,1632301
2002-02-14,Weekday,1014122,609706,1623828
2002-02-15,Weekday,1007654,589737,1597391
2002-02-16,Saturday,617307,292835,910142
2002-02-17,Sunday/Holiday,423922,209261,633183
2002-02-18,Weekday,759013,458524,1217537
2002-02-19,Weekday,985390,597374,1582764
2002-02-20,Weekday,986615,601360,1587975
2002-02-21,Weekday,977261,603816,1581077
2002-02-22,Weekday,1016162,592329,1608491
2002-02-23,Saturday,629609,292764,922373
2002-02-24,Sunday/Holiday,421160,199343,620503
2002-02-25,Weekday,979843,581612,1561455
2002-02-26,Weekday,933204,587918,1521122
2002-02-27,Weekday,939542,587701,1527243
2002-02-28,Weekday,941136,592045,1533181
2002-03-01,Weekday,973482,593596,1567078
2002-03-02,Saturday,512767,264847,777614
2002-03-03,Sunday/Holiday,331715,174890,506605
2002-03-04,Weekday,726815,493625,1220440
2002-03-05,Weekday,978944,588656,1567600
2002-03-06,Weekday,1008215,593126,1601341
2002-03-07,Weekday,1008102,594952,1603054
2002-03-08,Weekday,993813,587766,1581579
2002-03-09,Saturday,493346,254471,747817
2002-03-10,Sunday/Holiday,361758,180401,542159
2002-03-11,Weekday,1008613,591093,1599706
2002-03-12,Weekday,1021380,612457,1633837
2002-03-13,Weekday,1022145,615718,1637863
2002-03-14,Weekday,1010579,607626,1618205
2002-03-15,Weekday,1005654,591415,1597069
2002-03-16,Saturday,615103,342098,957201
2002-03-17,Sunday/Holiday,390344,189640,579984
2002-03-18,Weekday,992913,579486,1572399
2002-03-19,Weekday,990801,590290,1581091
2002-03-20,Weekday,993245,591401,1584646
2002-03-21,Weekday,930667,574802,1505469
2002-03-22,Weekday,961386,564876,1526262
2002-03-23,Saturday,617210,290118,907328
2002-03-24,Sunday/Holiday,370997,190845,561842
2002-03-25,Weekday,895573,544841,1440414
2002-03-26,Weekday,938869,571086,1509955
2002-03-27,Weekday,989393,580724,1570117
2002-03-28,Weekday,965734,571056,1536790
2002-03-29,Weekday,755230,472276,1227506
2002-03-30,Saturday,616271,268843,885114
2002-03-31,Sunday/Holiday,377026,158135,535161
2002-04-01,Weekday,971162,566861,1538023
2002-04-02,Weekday,970537,585155,1555692
2002-04-03,Weekday,1007100,597081,1604181
2002-04-04,Weekday,995075,600930,1596005
2002-04-05,Weekday,1014222,613919,1628141
2002-04-06,Saturday,639707,318104,957811
2002-04-07,Sunday/Holiday,355354,180625,535979
2002-04-08,Weekday,937560,578417,1515977
2002-04-09,Weekday,1013106,607047,1620153
2002-04-10,Weekday,1020986,618972,1639958
2002-04-11,Weekday,1036014,629240,1665254
2002-04-12,Weekday,917031,591700,1508731
2002-04-13,Saturday,631465,308737,940202
2002-04-14,Sunday/Holiday,438900,210876,649776
2002-04-15,Weekday,926258,586214,1512472
2002-04-16,Weekday,899896,599906,1499802
2002-04-17,Weekday,892185,593532,1485717
2002-04-18,Weekday,896865,594280,1491145
2002-04-19,Weekday,905545,591974,1497519
2002-04-20,Saturday,574009,300177,874186
2002-04-21,Sunday/Holiday,356144,190405,546549
2002-04-22,Weekday,974101,583247,1557348
2002-04-23,Weekday,1021788,620463,1642251
2002-04-24,Weekday,918721,602085,1520806
2002-04-25,Weekday,1000933,626040,1626973
2002-04-26,Weekday,1026348,615024,1641372
2002-04-27,Saturday,513069,272746,785815
2002-04-28,Sunday/Holiday,365481,201038,566519
2002-04-29,Weekday,1001321,584792,1586113
2002-04-30,Weekday,1000608,604417,1605025
2002-05-01,Weekday,1031532,605198,1636730
2002-05-02,Weekday,976392,598086,1574478
2002-05-03,Weekday,1075694,606513,1682207
2002-05-04,Saturday,660227,312131,972358
2002-05-05,Sunday/Holiday,443915,207913,651828
2002-05-06,Weekday,994227,598141,1592368
2002-05-07,Weekday,1010608,616111,1626719
2002-05-08,Weekday,968509,600435,1568944
2002-05-09,Weekday,1009271,614202,1623473
2002-05-10,Weekday,1047188,609528,1656716
2002-05-11,Saturday,492841,252501,745342
2002-05-12,Sunday/Holiday,358446,185931,544377
2002-05-13,Weekday,975822,570031,1545853
2002-05-14,Weekday,1009365,598752,1608117
2002-05-15,Weekday,1015551,600667,1616218
2002-05-16,Weekday,906240,579727,1485967
2002-05-17,Weekday,991682,583205,1574887
2002-05-18,Saturday,638862,298727,937589
2002-05-19,Sunday/Holiday,419434,204421,623855
2002-05-20,Weekday,994112,582646,1576758
2002-05-21,Weekday,1008846,613667,1622513
2002-05-22,Weekday,999920,618307,1618227
2002-05-23,Weekday,969174,606199,1575373
2002-05-24,Weekday,995434,576461,1571895
2002-05-25,Saturday,558891,270672,829563
2002-05-26,Sunday/Holiday,436570,216172,652742
2002-05-27,Sunday/Holiday,395210,200876,596086
2002-05-28,Weekday,959547,588932,1548479
2002-05-29,Weekday,980049,601576,1581625
2002-05-30,Weekday,990460,606972,1597432
2002-05-31,Weekday,1040502,635809,1676311
2002-06-01,Saturday,667264,371223,1038487
2002-06-02,Sunday/Holiday,423135,238648,661783
2002-06-03,Weekday,1001778,583147,1584925
2002-06-04,Weekday,915667,575065,1490732
2002-06-05,Weekday,1005307,602096,1607403
2002-06-06,Weekday,1044279,611344,1655623
2002-06-07,Weekday,1036716,606193,1642909
2002-06-08,Saturday,649574,323142,972716
2002-06-09,Sunday/Holiday,446760,228298,675058
2002-06-10,Weekday,944065,583512,1527577
2002-06-11,Weekday,969387,604162,1573549
2002-06-12,Weekday,986714,606658,1593372
2002-06-13,Weekday,967153,596032,1563185
2002-06-14,Weekday,980140,605447,1585587
2002-06-15,Saturday,644968,318379,963347
2002-06-16,Sunday/Holiday,456833,225229,682062
2002-06-17,Weekday,980090,576747,1556837
2002-06-18,Weekday,996706,619540,1616246
2002-06-19,Weekday,992928,618449,1611377
2002-06-20,Weekday,975703,628191,1603894
2002-06-21,Weekday,979910,616117,1596027
2002-06-22,Saturday,634013,341170,975183
2002-06-23,Sunday/Holiday,444454,232456,676910
2002-06-24,Weekday,884749,597643,1482392
2002-06-25,Weekday,926613,600847,1527460
2002-06-26,Weekday,879533,601333,1480866
2002-06-27,Weekday,914452,613276,1527728
2002-06-28,Weekday,934562,650340,1584902
2002-06-29,Saturday,636792,369705,1006497
2002-06-30,Sunday/Holiday,441101,309418,750519
2002-07-01,Weekday,948966,601509,1550475
2002-07-02,Weekday,955991,621541,1577532
2002-07-03,Weekday,1004276,785621,1789897
2002-07-04,Sunday/Holiday,441126,279204,720330
2002-07-05,Weekday,807831,500685,1308516
2002-07-06,Saturday,597877,324834,922711
2002-07-07,Sunday/Holiday,445916,256321,702237
2002-07-08,Weekday,929870,575055,1504925
2002-07-09,Weekday,919623,579348,1498971
2002-07-10,Weekday,941513,591208,1532721
2002-07-11,Weekday,969657,594276,1563933
2002-07-12,Weekday,963191,618865,1582056
2002-07-13,Saturday,624850,324416,949266
2002-07-14,Sunday/Holiday,433166,239865,673031
2002-07-15,Weekday,949705,608087,1557792
2002-07-16,Weekday,946077,621832,1567909
2002-07-17,Weekday,931752,595378,1527130
2002-07-18,Weekday,942643,596288,1538931
2002-07-19,Weekday,960153,612971,1573124
2002-07-20,Saturday,635657,339113,974770
2002-07-21,Sunday/Holiday,412477,229156,641633
2002-07-22,Weekday,900537,595784,1496321
2002-07-23,Weekday,955084,623156,1578240
2002-07-24,Weekday,945502,617518,1563020
2002-07-25,Weekday,931679,608190,1539869
2002-07-26,Weekday,942389,590601,1532990
2002-07-27,Saturday,595484,327980,923464
2002-07-28,Sunday/Holiday,414913,215040,629953
2002-07-29,Weekday,893147,565324,1458471
2002-07-30,Weekday,934322,614162,1548484
2002-07-31,Weekday,912632,603775,1516407
2002-08-01,Weekday,969159,607964,1577123
2002-08-02,Weekday,1004199,612785,1616984
2002-08-03,Saturday,674990,325279,1000269
2002-08-04,Sunday/Holiday,451144,234620,685764
2002-08-05,Weekday,941406,569627,1511033
2002-08-06,Weekday,955681,592722,1548403
2002-08-07,Weekday,940727,585313,1526040
2002-08-08,Weekday,945096,589840,1534936
2002-08-09,Weekday,968109,592938,1561047
2002-08-10,Saturday,667701,340015,1007716
2002-08-11,Sunday/Holiday,437332,230526,667858
2002-08-12,Weekday,908503,579800,1488303
2002-08-13,Weekday,871791,578996,1450787
2002-08-14,Weekday,893558,586107,1479665
2002-08-15,Weekday,920323,599375,1519698
2002-08-16,Weekday,903666,592393,1496059
2002-08-17,Saturday,644076,340569,984645
2002-08-18,Sunday/Holiday,490868,285298,776166
2002-08-19,Weekday,847798,545503,1393301
2002-08-20,Weekday,918696,586734,1505430
2002-08-21,Weekday,904673,572717,1477390
2002-08-22,Weekday,829797,533893,1363690
2002-08-23,Weekday,903292,570031,1473323
2002-08-24,Saturday,625725,308392,934117
2002-08-25,Sunday/Holiday,441076,227484,668560
2002-08-26,Weekday,920546,572967,1493513
2002-08-27,Weekday,923644,596884,1520528
2002-08-28,Weekday,922170,590348,1512518
2002-08-29,Weekday,808555,532322,1340877
2002-08-30,Weekday,987793,608056,1595849
2002-08-31,Saturday,666152,345777,1011929
2002-09-01,Sunday/Holiday,477226,257229,734455
2002-09-02,Sunday/Holiday,381482,201136,582618
2002-09-03,Weekday,1106907,625970,1732877
2002-09-04,Weekday,1087925,634665,1722590
2002-09-05,Weekday,1083538,634950,1718488
2002-09-06,Weekday,1082951,634809,1717760
